acc	subtype	type
5326	1.3	entrez
5050	1.3	entrez
7112	1.3	entrez
26	1.3	entrez
8836	1.3	entrez
5332	1.3	entrez
1365	1.3	entrez
1050	1.3	entrez
10810	1.3	entrez
23475	1.3	entrez
8884	1.3	entrez
10635	1.3	entrez
3960	1.3	entrez
275	1.3	entrez
2261	1.3	entrez
8501	1.3	entrez
7089	1.3	entrez
9762	1.3	entrez
3158	1.3	entrez
540	1.3	entrez
4751	1.3	entrez
4507	1.3	entrez
2705	1.3	entrez
10903	1.3	entrez
1945	1.3	entrez
10083	1.3	entrez
29899	1.3	entrez
1644	1.3	entrez
9037	1.3	entrez
1602	1.3	entrez
1730	1.3	entrez
2330	1.3	entrez
6519	1.3	entrez
2620	1.3	entrez
1820	1.3	entrez
2168	1.3	entrez
415	1.3	entrez
1800	1.3	entrez
1811	1.3	entrez
2984	1.3	entrez
1045	1.3	entrez
1044	1.3	entrez
4935	1.3	entrez
1555	1.3	entrez
8856	1.3	entrez
5629	1.3	entrez
1057	1.3	entrez
58530	1.3	entrez
5308	1.3	entrez
430	1.3	entrez
55353	1.3	entrez
7105	1.3	entrez
6713	1.3	entrez
58473	1.3	entrez
6509	1.3	entrez
5727	1.3	entrez
1015	1.3	entrez
5243	1.3	entrez
3170	1.3	entrez
53335	1.3	entrez
8908	1.3	entrez
4752	1.3	entrez
7113	1.3	entrez
10079	1.3	entrez
9289	1.3	entrez
6653	1.3	entrez
23220	1.3	entrez
23177	1.3	entrez
57460	1.3	entrez
221061	1.3	entrez
8495	1.3	entrez
23263	1.3	entrez
92211	1.3	entrez
23314	1.3	entrez
26035	1.3	entrez
8549	1.3	entrez
368	1.3	entrez
25924	1.3	entrez
8991	1.3	entrez
3110	1.3	entrez
90333	1.3	entrez
27324	1.3	entrez
9725	1.3	entrez
10950	1.3	entrez
1080	1.3	entrez
79184	1.3	entrez
7512	1.3	entrez
10144	1.3	entrez
9547	1.3	entrez
55365	1.3	entrez
55240	1.3	entrez
79887	1.3	entrez
10451	1.3	entrez
25984	1.3	entrez
54517	1.3	entrez
57715	1.3	entrez
56992	1.3	entrez
79574	1.3	entrez
80183	1.3	entrez
8645	1.3	entrez
54491	1.3	entrez
59272	1.3	entrez
58985	1.3	entrez
54866	1.3	entrez
54566	1.3	entrez
64772	1.3	entrez
10110	1.3	entrez
28959	1.3	entrez
55732	1.3	entrez
29974	1.3	entrez
29127	1.3	entrez
23677	1.3	entrez
51114	1.3	entrez
8313	1.3	entrez
81831	1.3	entrez
28982	1.3	entrez
10008	1.3	entrez
5169	1.3	entrez
51523	1.3	entrez
58516	1.3	entrez
30061	1.3	entrez
56172	1.3	entrez
10809	1.3	entrez
26022	1.3	entrez
619279	1.3	entrez
83540	1.3	entrez
29785	1.3	entrez
26996	1.3	entrez
3038	1.3	entrez
57670	1.3	entrez
84649	1.3	entrez
80824	1.3	entrez
56261	1.3	entrez
147495	1.3	entrez
57181	1.3	entrez
54492	1.3	entrez
54843	1.3	entrez
84899	1.3	entrez
84440	1.3	entrez
25849	1.3	entrez
81617	1.3	entrez
57216	1.3	entrez
11320	1.3	entrez
6197	1.3	entrez
55502	1.3	entrez
85462	1.3	entrez
200958	1.3	entrez
53354	1.3	entrez
128486	1.3	entrez
55789	1.3	entrez
80110	1.3	entrez
338440	1.3	entrez
9185	1.3	entrez
5618	1.3	entrez
100505806	1.3	entrez
131177	1.3	entrez
84501	1.3	entrez
